Profile Name/ID,Date,Videos at start, Videos at end
Caio Madeira UCGU-WCNfwYLHv6hjR2rWDbQ,20-05-2025,"-,-,-,-","h5QUBUd8CPk,kGSNzQTnK-I,B5nJX-rmIgo"
Caio Madeira UCGU-WCNfwYLHv6hjR2rWDbQ,21-05-2025,"OmSHtQEiyE0,gpO2PhFkpa0,DpfgJG7RYcE","OmSHtQEiyE0,ssfzkkhiK7o,cIgjcpB9Ebc"
Caio Madeira UCGU-WCNfwYLHv6hjR2rWDbQ,22-05-2025,"MDpViwrXTMw,VbV72TcmczA,Mi1R5Wt8PEI,VbUVCyz8FM0","UjVQUGS9prA,ELbVSyB7ifQ,ZWCA8ejKUdA,BvIBEiIKFbU"
Caio Madeira UCGU-WCNfwYLHv6hjR2rWDbQ,24-05-2025,"XFOpha73-lM,DZIASl9q90s,3E2CDtyimyw","5t_Lec1VGOE,tJaKMpSbnwc,WYrd7es-jfY"
Caio Madeira UCGU-WCNfwYLHv6hjR2rWDbQ,25-05-2025,"SAUbWmBkGKY,ShrISGlgDBU,nP8k2u4gHtc,rA92g32aODM","1EgCYsMfXDw,hhJfFLPd-d8,yH_Mgsao_Lo"
Caio Madeira UCGU-WCNfwYLHv6hjR2rWDbQ,26-05-2025,"jaPZhBYjfW8,rN8G52tYkbE,RarMZhZltrM","KFkkvsMw9_w,hzrsUPHoaC8,I18tFpyJjKA"
Caio Madeira UCGU-WCNfwYLHv6hjR2rWDbQ,30-05-2025,"wIi6IrLYXDU,-T4uD3yTY5Q,JXSvcGdFP-E,dYxuOYhVBxU","xtpJREXoKEo,71HxYU8kgb0,5rgpKYOblWg"
Caio Madeira UCGU-WCNfwYLHv6hjR2rWDbQ,03-06-2025,"Jcp2q86aTVA,71HxYU8kgb0,nUv9zqwBtAE","-,-,-,-"
Caio Madeira UCGU-WCNfwYLHv6hjR2rWDbQ,06-06-2025,"ffWmZhuM46w,ULjZtJHGzlU,g4Zz1c7xHV4","n3dPMepJLCs,mXpLHdYhMKA,YUIuFxytow0"


