Profile Name/ID,Video ID,Title,Author Channel,Action,Was commented,Comment,Date,Time,Tags,Rating
Giovanni AAAABBBBCCCC,pFqMa58x48Q,"ufc, mma, ultimate fighting championship",,Watched,0,-,20-05-2025,20:30,"ufc, mma, ultimate fighting championship",Like
Giovanni AAAABBBBCCCC,khN6CGW76Go,"NBA Primes We Miss 💔, NBA, NBA MOMENTS, NBA Prime, NBA Highlights, NBA Videos, NBA Playoffs, NBA 2025, 2025 NBA Playoffs, 2024-25 NBA Season, NBA Full Game Highlights, NBA Top Plays, KingSwish, Golden Hoops, CoshReport, JxmyHighroller, REBOUND, Chaz NBA, House Of Highlights, ESPN, FreeDawkins, GAMETIME HIGHLIGHTS, dime, GD's Highlights, NBA Max, Hicko, NBA On TNT, Nba, nba, nba videos",,Watched,1,Jogão!,21-05-2025,20:35,"NBA Primes We Miss 💔, NBA, NBA MOMENTS, NBA Prime, NBA Highlights, NBA Videos, NBA Playoffs, NBA 2025, 2025 NBA Playoffs, 2024-25 NBA Season, NBA Full Game Highlights, NBA Top Plays, KingSwish, Golden Hoops, CoshReport, JxmyHighroller, REBOUND, Chaz NBA, House Of Highlights, ESPN, FreeDawkins, GAMETIME HIGHLIGHTS, dime, GD's Highlights, NBA Max, Hicko, NBA On TNT, Nba, nba, nba videos",Like
Giovanni AAAABBBBCCCC,fXIbLmlUdOQ,"Rio 2016, long jump, Juegos Olímpicos, Gold, mens, gold medal, Silver, 2016 Olympics, Olympic ​G​ames, luvo manyonga, Champion​, Rio 2016 Olympics, Sport, Rio Replay, Summer Olympics, Bronze, Track and Field, greg rutherford, Athletics, Rio Olympics, Olympics, Olympic Athletics, Athletics Rio 2016, jeff henderson, IOC, final",,Watched,0,-,21-05-2025,20:55,"Rio 2016, long jump, Juegos Olímpicos, Gold, mens, gold medal, Silver, 2016 Olympics, Olympic ​G​ames, luvo manyonga, Champion​, Rio 2016 Olympics, Sport, Rio Replay, Summer Olympics, Bronze, Track and Field, greg rutherford, Athletics, Rio Olympics, Olympics, Olympic Athletics, Athletics Rio 2016, jeff henderson, IOC, final",Like
Giovanni AAAABBBBCCCC,FXQ1NYZddVY,"NBA, Basketball, LeBron James, Steph Curry, Kevin Durant, Ja Morant, LaMelo Ball, Giannis Antetokounmpo, Luka Doncic, Los Angeles Lakers, Golden State Warriors, Boston Celtics, Chicago Bulls, Highlights, Nikola Jokic, House of Highlights, Dunk, Shorts, Game Winner, Buzzer Beater, Michael Jordan, Kobe Bryant, Mix, Top 10, of the week, GOAT, Undisputed, ESPN, Brawl, Funny, Bloopers, Golden Hoops, Finals, Draft, 2k23, gameplay, Harden, Crossover, Ankle Breaker, Reaction, Shaqtin a Fool, Embiid",,Watched,0,-,22-05-2025,20:45,"NBA, Basketball, LeBron James, Steph Curry, Kevin Durant, Ja Morant, LaMelo Ball, Giannis Antetokounmpo, Luka Doncic, Los Angeles Lakers, Golden State Warriors, Boston Celtics, Chicago Bulls, Highlights, Nikola Jokic, House of Highlights, Dunk, Shorts, Game Winner, Buzzer Beater, Michael Jordan, Kobe Bryant, Mix, Top 10, of the week, GOAT, Undisputed, ESPN, Brawl, Funny, Bloopers, Golden Hoops, Finals, Draft, 2k23, gameplay, Harden, Crossover, Ankle Breaker, Reaction, Shaqtin a Fool, Embiid",Like
Giovanni AAAABBBBCCCC,C2gDSa2RasA,"neymar, neymar vs, neymar brasil, neymar brazil",,Watched,1,Incrível a coragem desses atletas,23-05-2025,20:40,"neymar, neymar vs, neymar brasil, neymar brazil",Like
Giovanni AAAABBBBCCCC,F9o8w37ZzDw,"futebol, champions, champions league, liga dos campeões, sbt, sbt sports, champions no sbt, psg, paris saint-germain, inter de milão, jogo completo, psg x inter de milão, psg campeão",,Watched,1,Partida épica!,24-05-2025,20:30,"futebol, champions, champions league, liga dos campeões, sbt, sbt sports, champions no sbt, psg, paris saint-germain, inter de milão, jogo completo, psg x inter de milão, psg campeão",Like
Giovanni AAAABBBBCCCC,XPix70emc5A,"futebol, champions league, liga dos campeões, inter de milão, barcelona, inter de milão x barcelona, inter x barcelona, ucl, sbt, sbt sports, tiago leifert, champions no sbt, jogo completo, inter x barcelona jogo completo",,Watched,1,Que jab,25-05-2025,20:50,"futebol, champions league, liga dos campeões, inter de milão, barcelona, inter de milão x barcelona, inter x barcelona, ucl, sbt, sbt sports, tiago leifert, champions no sbt, jogo completo, inter x barcelona jogo completo",Like
Giovanni AAAABBBBCCCC,lYQHzKoq0bE,"CazéTV, Cazé TV, Casimiro ao vivo, Casimiro, CazéTV ao vivo, Cazé ao vivo, Olimpíadas, jogos olímpicos, paris 2024, jogos paris, olimpiadas ao vivo, jogos olímpicos paris, olimpíadas ao vivo, assistir olimpiadas, olimpiadas cazétv, olimpiadas casimiro, paris cazetv, cazetv, jogos olimpicos cazétv, casimiro jogos, paris ao vivo, assistir jogos paris, olimpiadas paris, maratona, corrida, maratona olimpiadas, maratona paris, assistir maratona, maratona ao vivo",,Watched,0,-,26-05-2025,20:40,"CazéTV, Cazé TV, Casimiro ao vivo, Casimiro, CazéTV ao vivo, Cazé ao vivo, Olimpíadas, jogos olímpicos, paris 2024, jogos paris, olimpiadas ao vivo, jogos olímpicos paris, olimpíadas ao vivo, assistir olimpiadas, olimpiadas cazétv, olimpiadas casimiro, paris cazetv, cazetv, jogos olimpicos cazétv, casimiro jogos, paris ao vivo, assistir jogos paris, olimpiadas paris, maratona, corrida, maratona olimpiadas, maratona paris, assistir maratona, maratona ao vivo",Like
Giovanni AAAABBBBCCCC,oxeQGyShIis,"charles do bronxs, ufc fight pass, ufc 317",,Watched,0,-,26-05-2025,21:03,"charles do bronxs, ufc fight pass, ufc 317",Like
Giovanni AAAABBBBCCCC,rzj4FFi7wt8,"IOC, mens, Gold, jean charles valladont, Olympic Archery, Rio Olympics, Olympic ​G​ames, Rio 2016, Juegos Olímpicos, Archery Rio 2016, Sport, bonchan ku, individual, Champion​, Olympics, Silver, Bronze, Summer Olympics, Rio 2016 Olympics, Archery, 2016 Olympics, Rio Replay",,Watched,0,-,27-05-2025,20:30,"IOC, mens, Gold, jean charles valladont, Olympic Archery, Rio Olympics, Olympic ​G​ames, Rio 2016, Juegos Olímpicos, Archery Rio 2016, Sport, bonchan ku, individual, Champion​, Olympics, Silver, Bronze, Summer Olympics, Rio 2016 Olympics, Archery, 2016 Olympics, Rio Replay",Like
