Profile Name/ID,Date,Videos at start, Videos at end
Giovanni AAAABBBBCCCC,20-05-2025,"-,-,-,-","zHCP5wNF-wQ,i-CJet790ls,pFqMa58x48Q",
Giovanni AAAABBBBCCCC,21-05-2025,"-,-,-,-","-v081W29l0o,RxKX2rfHKAI,uJs693eNfuQ",
Giovanni AAAABBBBCCCC,22-05-2025,"-,-,-,-","HxgGW_ECu0w,khN6CGW76Go,6IsTVwRBE80",
Giovanni AAAABBBBCCCC,23-05-2025,"-,-,-,-","s0ZOd1ghabU,ilA-uusMHis,BngxjEuxjlk",
Giovanni AAAABBBBCCCC,24-05-2025,"-,-,-,-","DS4iVV8_cp4,JMXT7HW4_N8,sxxDU0xI80I",
Giovanni AAAABBBBCCCC,25-05-2025,"-,-,-,-","ij05JdN1Mmk,ZZyRLvHhz6k,h9_IAjlBhHU",
Giovanni AAAABBBBCCCC,26-05-2025,"-,-,-,-","SjhqlAjgQEA,mmeLCAP74KA,EjWGIcZbIoQ",
Giovanni AAAABBBBCCCC,27-05-2025,"-,-,-,-","wz1r_VJaJZw,nW94UQHU7as,et_mABkiubE",
Giovanni AAAABBBBCCCC,28-05-2025,"-,-,-,-","SuqZ6hCAz3Y,gMDImea4fhY",

