Profile Name/ID,Date,Videos at start, Videos at end
João AAAABBBBCCCC,20-05-2025,"-,-,-,-","fiAu9uOC-VM,fR_025N4Ias,JDXAcEF1sdI"
João AAAABBBBCCCC,21-05-2025,"dtBT6xGoqmI,Y6Rd9ZQBVG0,WtYNvsvLW9g","BvoJ1_6QabY,kXmh_QcOSp4,DZIASl9q90s"
João AAAABBBBCCCC,22-05-2025,"UFu4Hy2T9Es,Aqwq081EQko,QFbZWM9X1X8","JFUpA8M5OYU,vDO2L2eeRVg,kyMn-VR_XUU"
João AAAABBBBCCCC,24-05-2025,"OFjARNB-Jko,-PE0fMAtuZ8,K76Rl4gtFLk","bg7WzZTepyM,luMR2xzTZqo,Aqwq081EQko"
João AAAABBBBCCCC,25-05-2025,"jSVUKv43FTk,DE1_Eb8uWN8,M3LgrxIm2hU","LEkkBLQVoXw,KMfgkegHRrQ"
João AAAABBBBCCCC,26-05-2025,"q8xbVEmAuDc,_fuGtPIsOhI,_SCufxfde58","NFWTzRiHmo0,QiXp7PnNuyw,ENC-ktbn-lw"
João AAAABBBBCCCC,27-05-2025,"NtqX8gtbQxE,w9XYczyvikg,pBbHy_BIz64","0Hvnq3StpP4,SsZoqBH3aYw,QiXp7PnNuyw"
João AAAABBBBCCCC,28-05-2025,"jg7rCETAhEk,laesiLn9hwo,Xsn4G9VpflE","Wf1G7-GzsOU,TFKc366jgTM,E6OWU4b0U-Q"
João AAAABBBBCCCC,29-05-2025,"mcLYCA8tKPk,cd3h8n-toaw,AN-SMfq6H7c","pt6x9Sxmqig,bAk57X1i7q0,RpBnxCcAwxQ"
João AAAABBBBCCCC,31-05-2025,"-,-,-,-","-,-,-,-"
