Profile Name/ID,Video ID,Title,Author Channel,Action,Was commented,Comment,Date,Time,Tags,Rating
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,ZfHQ6SpUqB8,Aprenda a cozinhar melhor com esses truques!,Paola Carosella,Watched,0,-,20-05-2025,08:48:45,"paola carosella, paola carosella receitas, paola carosella vídeos, paola carosella masterchef, paola carosella nossa cozinha, receitas, nossa cozinha, utensílios de cozinha, paola carosella utensílios de cozinha, paola carosella utesílios, paola carosella dicas, dicas da paola, dicas paola carosella, dicas cozinha, dicas de panelas boas, dicas de chef, cozinha, cozinha dicas, dicas para cozinhar melhor",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,EBzRGicC3QY,HAMBÚGUER DE GRAÇA *Se comer em 10min,Julio Nascimento,Watched,0,-,20-05-2025,15:26:49,"hamburguer gratis, desafio de comida, torre de hamburguer, comida de graça, 6 carnes, desafio 10 minutos, torre de carne, comer tudo em 10 min, desafio valendo lanche, comida absurda, viral de comida, torre de hamburguer gratis, julio nascimento, casal nascimento, desafio insano, challenge food brasil, comer e não pagar, torre de cheddar",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,dUSI9hlmkD8,TRABALHANDO SOZINHO NA MINHA HAMBURGUERIA.,POV Hamburgueiro,Watched,0,-,20-05-2025,15:27:06,"vídeo, compartilhamento, celular com câmera, videofone, gratuito, envio",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,fRRPpxeq4P4,Frango na cerveja | Thalyta Koller,Como faz,Watched,0,-,20-05-2025,15:28:11,"bistek, leo abreu, leonardo abreu, supermercado",Like
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,p1uaRRSLZsE,O curso de inglês mais rápido do Brasil.,Beyond With John,Watched,0,-,20-05-2025,15:38:03,"vídeo, compartilhamento, celular com câmera, videofone, gratuito, envio",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,lXEtC3Y9sqY,Can You Really Make Perfect Carbonara in 15 Minutes?,Denis Prokopyev,Watched,0,-,20-05-2025,15:39:35,"carbonara, carbonara lovers, carbonara pasta, carbonara recipe, carbonara secrets, carbonara twist, chef pov, chef pov cooking, cook pov, cooking, cooking pov, cooking show, cooking videos, culinary secrets, easy pasta, head chef, italian comfort, italian kitchen, pasta carbonara, pasta indulgence, pasta mastery, pasta perfection, pasta recipes, pasta vibes, pov, pov chef cooking, pov cooking, pov cooking food, sauce perfection, spaghetti carbonara, spaghetti recipe",Like
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,2VAmL_yzqCo,As únicas 11 peças que um homem precisa ter no guarda roupa,Kimdamoda,Watched,0,-,20-05-2025,15:41:13,"vídeo, compartilhamento, celular com câmera, videofone, gratuito, envio",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,ygXXjO8yk0I,POV - Barista works in London,IssackxCoffee,Watched,0,-,20-05-2025,15:43:22,"barista POV, pov barista, ASMR, ASMR barista POV, ASMR barista vlog, Barista in London, Coffee shop in London, Barista coffee shop setup, Batista setup, barista vlog",Like
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,_NIBRyOqBAQ,Meu guarda-roupa minimalista 3.0,Pinho,Watched,0,-,21-05-2025,16:06:10,"pinho, minimalismo, minimalista, estilo de vida minimalista, pinho minimalismo, pinho minimalista, guarda-roupa minimalista, minimalismo estilo de vida, moda minimalista, estilo minimalista, roupas minimalistas, canal do pinho, pinhoco, como ser minimalista, como ser uma pessoa melhor, vida simples, moda, estilo, como monocromatico, como se vestir melhor, moda masculina, insider store, insider, tech t-shirt",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,ezPQyB6iXg0,POV- 4 hours of barista shift (compilation),IssackxCoffee,Watched,0,-,21-05-2025,15:29:33,"vídeo, compartilhamento, celular com câmera, videofone, gratuito, envio",-
