Profile Name/ID,Date,Videos at start, Videos at end
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,20-05-2025,"-,-,-,-","fRRPpxeq4P4,p1uaRRSLZsE,E0JsLnrzKg0"
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,21-05-2025,"ezPQyB6iXg0,CIBElmZulsY","tWlwIMPdmSA,j7LKJzh0ghc,kQRPCmj3z5o"
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,22-05-2025,"1bn8cQ-9-KM,t53UEG7k8RI","ELbVSyB7ifQ,H-MCNMeZOPY,1r_vKpiKuzI"
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,23-05-2025,"xfzbitbOvD0,HFQaFS06kV4,YR3UovgnCso","eljduo1uqHY,0G50EI9lEqI"
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,24-05-2025,"Tj0zFhHKEKw,Wlu3uOkEnRU","J97IViIgPGQ,9D9h53Q1AEA"
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,25-05-2025,"78aLmunG_40,y_YVPjgrqmY","q_BcaDncdR8,uQFwisQYn-I"
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,26-05-2025,"v6To-hdCgEo,Ka3QDGVmOYA,FhmxpJ-sSiM,","VCu4IPwJBmw,5SGqGWbvqeA"
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,27-05-2025,"tR2xFjINhNI,eNPQsVkgmL4","szXwbwRH-4E,PAXMm2QCnlg"
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,28-05-2025,"477cSaKD4cA,GjFWfmdtbU8","NadXYvX5gsY,1G-9Pibx5JI"
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,30-05-2025,"SojtBHg_-Kw,nvt__qwy-Hg","uBhk0hWxz3Y,4ID4gzPYkRM"
