ID do comentário,ID do canal,Carimbo de data/hora em que o comentário foi criado,Preço,ID do vídeo,Texto do comentário
Ugzdgd_SGrzywStI5nZ4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-06-01T02:33:35.185159+00:00,0,CcmzN0AOGiU,"{""text"":""Bom""}"
Ugw_fkRy1pew6GlgboV4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-06-01T02:31:52.950503+00:00,0,8QbXfv_FDRQ,"{""text"":""Bom""}"
UgxxN9fztXC9ofps-9R4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-06-01T02:27:34.645096+00:00,0,4ID4gzPYkRM,"{""text"":""Bom""}"
Ugz4yjX6UQtn8i2Qbop4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-06-01T02:26:13.201054+00:00,0,l32ZZq0YJ8M,"{""text"":""Bom""}"
Ugz5rj1iQ1Mf-XCWqg14AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-06-01T02:21:02.603871+00:00,0,SojtBHg_-Kw,"{""text"":""Bom""}"
UgybheQmLgavOMTXIkB4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-06-01T02:19:48.439284+00:00,0,uBhk0hWxz3Y,"{""text"":""Bom""}"
Ugwn8ptdPCMsTO4zLz94AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-30T13:37:01.615473+00:00,0,NadXYvX5gsY,"{""text"":""Bom""}"
Ugyv_ZJGiDrppCHQ7HN4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-30T13:32:25.313445+00:00,0,477cSaKD4cA,"{""text"":""Bom""}"
Ugx_7hTJxKHrqjzZDqZ4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-28T23:18:15.329754+00:00,0,hO3TtY2k5hQ,"{""text"":""Bom""}"
UgxrlaitqbUcboE-NNV4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-28T23:16:23.997528+00:00,0,9D9h53Q1AEA,"{""text"":""Bom""}"
Ugy1ml-KPB92d6jKfFt4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-28T23:14:40.115168+00:00,0,PWObNk6GsVk,"{""text"":""Bom""}"
UgyTEcxAGR1GCVCXI1h4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-28T23:08:51.249911+00:00,0,L8of78FrH74,"{""text"":""Bom""}"
